Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/pet/1,86,35,58,62.832481895341964,52.627489000087735,263.74044999988655,98.09302325581395,1.4957687728422804,0.6087431052265095,58,59,60,60,62,65,240,260,260,260,260
GET,/pet/findByStatus?status=available,95,0,60,72.30576378946304,55.90019900000698,366.0306659999151,42972.73684210526,1.65230271418624,0.0,60,61,63,63,67,170,350,370,370,370,370
,Aggregated,181,35,59,67.80464642540551,52.627489000087735,366.0306659999151,22601.3591160221,3.1480714870285205,0.6087431052265095,59,61,61,62,65,73,260,350,370,370,370
